交易时间,交易标的,交易前仓位,交易后仓位,交易价格,交易仓位,交易方向,交易思路
2025/12/13 01:02,GEV,0.00%,30.00%,673.2,30.00%,B,
2025/12/13 01:02,RKLB,20.28%,30.00%,61.67,9.72%,B,
2025/12/13 00:39,RKLB,32.54%,20.00%,60.16,-12.54%,S,
2025/12/13 00:09,ASTS,20.20%,0.00%,76.8,-20.20%,S,
2025/12/12 23:35,GDXU,9.89%,0.00%,245.29,-9.89%,S,
2025/12/11 23:35,GDXU,0.00%,9.72%,245.777,9.72%,B,
2025/12/11 23:35,LITE,9.45%,0.00%,365.83,-9.45%,S,
2025/12/10 23:04,SNDK,49.41%,40.00%,220.625,-9.41%,S,
2025/12/10 23:04,RKLB,10.09%,30.00%,54.303,19.91%,B,
2025/12/10 23:04,LITE,20.78%,10.00%,361.48,-10.78%,S,
2025/12/9 23:57,SNDK,30.16%,50.00%,222.002,19.84%,B,
2025/12/9 23:57,RKLB,0.00%,9.63%,51.53,9.63%,B,
2025/12/9 23:57,SQQQ,29.40%,0.00%,66.88,-29.40%,S,
2025/12/9 22:38,ASTS,15.00%,20.00%,72.34,5.00%,B,
2025/12/9 22:38,LITE,15.34%,20.00%,341.29,4.66%,B,
2025/12/9 22:38,SQQQ,39.78%,30.00%,67.369,-9.78%,S,
2025/12/9 00:02,SNDK,39.80%,30.00%,216.545,-9.80%,S,
2025/12/9 00:02,ASTS,19.93%,15.00%,71.71,-4.93%,S,
2025/12/9 00:02,LITE,19.92%,15.00%,330.71,-4.92%,S,
2025/12/9 00:02,SQQQ,20.35%,40.00%,67.14,19.65%,B,
2025/12/8 23:51,SNDK,45.72%,40.00%,220.59,-5.72%,S,
2025/12/8 23:51,ASTS,30.03%,20.00%,72.946,-10.03%,S,
2025/12/8 23:51,LITE,24.19%,20.00%,336.44,-4.19%,S,
2025/12/8 23:51,SQQQ,0.00%,20.00%,66.86,20.00%,B,
2025/12/8 22:35,LITE,0.00%,23.05%,336.69,23.05%,B,
2025/12/8 22:34,GDXU,23.08%,0.00%,203.22,-23.08%,S,止损比例：8%
2025/12/6 00:38,SNDK,40.34%,45.00%,218.575,4.66%,B,
2025/12/6 00:38,RKLB,14.89%,0.00%,47.94,-14.89%,S,
2025/12/6 00:38,ASTS,20.18%,30.00%,73.16,9.82%,B,
2025/12/5 23:36,RKLB,19.86%,15.00%,49.44,-4.86%,S,
2025/12/5 23:36,ASTS,27.12%,20.00%,74.23,-7.12%,S,
2025/12/5 23:36,GDXU,13.85%,25.70%,224.382,11.85%,B,
2025/12/5 23:02,SMR,13.66%,0.00%,21.46,-13.66%,S,
2025/12/5 23:02,GDXU,0.00%,13.65%,217.91,13.65%,B,
2025/12/4 23:58,SMR,0.00%,14.30%,21.985,14.30%,B,
2025/12/4 23:58,TSLA,14.31%,0.00%,448.825,-14.31%,S,
2025/12/4 23:12,SNDK,30.60%,38.80%,199.24,8.20%,B,
2025/12/4 23:12,TSLL,18.21%,0.00%,20.19,-18.21%,S,
2025/12/4 23:12,RKLB,24.99%,20.00%,45.84,-4.99%,S,
2025/12/4 23:12,TSLA,0.00%,15.00%,449.87,15.00%,B,
2025/12/4 22:50,TSLL,0.00%,18.67%,20.541,18.67%,B,
2025/12/4 22:50,GDXU,18.27%,0.00%,201.5,-18.27%,S,
2025/12/4 22:32,SNDK,19.94%,31.00%,197.52,11.06%,B,
2025/12/4 22:32,ASTS,31.11%,25.00%,62.19,-6.11%,S,
2025/12/4 22:32,RKLB,30.19%,25.00%,45.14,-5.19%,S,
2025/12/4 01:49,RKLB,20.01%,30.00%,43.63,9.99%,B,
2025/12/4 01:49,ASTS,19.79%,30.00%,58.33,10.21%,B,
2025/12/4 01:49,FANG,19.89%,0.00%,158.25,-19.89%,S,
2025/12/4 01:31,RKLB,0.00%,20.00%,43.525,20.00%,B,
2025/12/4 01:31,FANG,40.42%,20.00%,158.815,-20.42%,S,
2025/12/3 23:48,GDXU,0.00%,20.40%,218.98,20.40%,B,
2025/12/3 23:48,VIXY,19.97%,0.00%,30.485,-19.97%,S,
2025/12/3 23:42,SNDK,9.86%,20.00%,194.75,10.14%,B,
2025/12/3 23:42,FANG,50.58%,40.00%,159.16,-10.58%,S,
2025/12/3 23:40,SNDK,0.00%,9.81%,193.73,9.81%,B,
2025/12/3 23:40,VIXY,29.75%,20.00%,30.48,-9.75%,S,
2025/12/3 23:27,ASTS,0.00%,19.46%,57.715,19.46%,B,
2025/12/3 23:27,VIXY,49.44%,30.00%,30.68,-19.44%,S,
2025/12/3 00:30,TSEM,14.84%,0.00%,115.535,-14.84%,S,
2025/12/3 00:30,FANG,20.02%,49.80%,155.45,29.78%,B,
2025/12/3 00:28,RKLB,14.96%,0.00%,41.88,-14.96%,S,
2025/12/3 00:16,VIXY,29.80%,49.74%,30.74,19.94%,B,
2025/12/3 00:16,INTC,19.87%,0.00%,42.665,-19.87%,S,
2025/12/3 00:00,SNDK,19.03%,0.00%,194.41,-19.03%,S,
2025/12/3 00:00,VIXY,0.00%,29.70%,30.66,29.70%,B,
2025/12/3 00:00,INTC,30.61%,20.00%,42.96,-10.61%,S,
2025/12/2 23:54,FANG,0.00%,20.00%,156.053,20.00%,B,
2025/12/2 23:54,EQT,20.07%,0.00%,59.745,-20.07%,S,
2025/12/2 23:19,SNDK,28.75%,20.00%,206.13,-8.75%,S,
2025/12/2 23:19,INTC,20.34%,29.70%,42.115,9.36%,B,
2025/12/2 23:16,RKLB,0.00%,15.00%,42.48,15.00%,B,
2025/12/2 23:14,SQQQ,14.65%,0.00%,67.22,-14.65%,S,
2025/12/2 22:50,TSEM,0.00%,15.00%,117.485,15.00%,B,
2025/12/2 22:50,INTC,15.14%,20.00%,41.244,4.86%,B,
2025/12/2 22:50,EQT,40.26%,20.00%,59.78,-20.26%,S,
2025/12/2 22:48,INTC,0.00%,15.00%,40.88,15.00%,B,
2025/12/2 22:48,XLE,15.49%,0.00%,89.85,-15.49%,S,
2025/12/1 22:44,XLE,0.00%,15.60%,91.325,15.60%,B,
2025/12/1 22:37,GDXU,14.61%,0.00%,220,-14.61%,S,
2025/12/1 22:33,EQT,14.55%,40.00%,60.77,25.45%,B,
2025/12/1 22:30,GDXU,41.22%,15.00%,227.86,-26.22%,S,
2025/11/29 00:07,MSTR,14.55%,0.00%,182.18,-14.55%,S,
2025/11/29 00:07,EQT,0.00%,14.55%,60.855,14.55%,B,
2025/11/28 23:28,SNDK,33.99%,30.00%,216.72,-3.99%,S,
2025/11/28 23:28,GDXU,47.54%,40.00%,218.59,-7.54%,S,
2025/11/28 23:28,SQQQ,18.41%,15.00%,69.4,-3.41%,S,
2025/11/28 23:28,MSTR,0.00%,15.00%,185.82,15.00%,B,
2025/11/27 01:20,CWVX,14.31%,0.00%,5.1,-14.31%,S,
2025/11/27 01:20,SNDK,39.78%,35.00%,216.241,-4.78%,S,
2025/11/27 01:20,SQQQ,0.00%,19.10%,69.77,19.10%,B,
2025/11/27 00:41,CWVX,0.00%,15.00%,5.416,15.00%,B,
2025/11/27 00:41,SNDK,45.06%,40.00%,220.275,-5.06%,S,
2025/11/27 00:41,LITE,9.85%,0.00%,301.83,-9.85%,S,
2025/11/26 23:30,SNDK,39.91%,44.80%,214.39,4.89%,B,
2025/11/26 23:30,LITE,0.00%,10.00%,300.08,10.00%,B,
2025/11/26 23:30,VIXY,14.91%,0.00%,32.14,-14.91%,S,
2025/11/26 23:25,SNDK,30.36%,40.00%,213.76,9.64%,B,
2025/11/26 23:25,GDXU,40.17%,45.00%,197.172,4.83%,B,
2025/11/26 23:25,VIXY,29.47%,15.00%,32.17,-14.47%,S,
2025/11/26 23:04,SNDK,48.17%,30.00%,208.35,-18.17%,S,
2025/11/26 23:04,GDXU,51.83%,40.00%,193.67,-11.83%,S,
2025/11/26 23:04,VIXY,0.00%,30.00%,32.298,30.00%,B,
2025/11/26 22:35,SNDK,39.85%,50.00%,224.26,10.15%,B,
2025/11/26 22:35,GDXU,40.75%,50.00%,193.7,9.25%,B,
2025/11/26 22:33,ALB,19.30%,0.00%,123.399,-19.30%,S,
2025/11/25 23:36,SNDK,29.43%,40.00%,216.418,10.57%,B,
2025/11/25 23:36,GDXU,50.48%,40.00%,183.12,-10.48%,S,
2025/11/25 23:36,LITE,19.28%,0.00%,289.66,-19.28%,S,
2025/11/25 23:36,ALB,0.00%,20.00%,122.76,20.00%,B,
2025/11/25 23:05,GDXU,24.84%,50.00%,177.171,25.16%,B,
2025/11/25 23:03,BABA,25.05%,0.00%,158.07,-25.05%,S,
2025/11/25 22:42,GDXU,0.00%,25.00%,181.3,25.00%,B,
2025/11/25 22:42,YINN,25.32%,0.00%,46.29,-25.32%,S,
2025/11/25 21:02,LITE,27.99%,20.00%,289.05,-7.99%,S,
2025/11/25 21:02,BABA,0.00%,25.00%,162.855,25.00%,B,
2025/11/25 21:02,CLS,17.22%,0.00%,326,-17.22%,S,
2025/11/25 00:34,BILI,17.27%,0.00%,26.325,-17.27%,S,
2025/11/25 00:34,CLS,0.00%,17.00%,312.7,17.00%,B,
2025/11/24 22:42,SNDK,21.09%,30.00%,218.94,8.91%,B,
2025/11/24 22:42,BILI,0.00%,17.50%,26.32,17.50%,B,
