日期,标的,方向,实际成交,实际时间,最优价格,最优时间,需等待时长,错失空间%,评估
12-12,GEV,B,673.2,12:02,667.12,15:56,+3h 54m,0.9,❌ 哪怕再等一会
12-12,RKLB,B,61.67,12:02,61.21,15:49,+3h 47m,0.75,❌ 哪怕再等一会
12-12,RKLB,S,60.16,11:39,64.42,13:13,+1h 34m,7.08,❌ 哪怕再等一会
12-12,ASTS,S,76.8,11:09,80.42,13:12,+2h 3m,4.71,❌ 哪怕再等一会
12-12,GDXU,S,245.29,10:35,251.81,10:45,+10m,2.66,❌ 哪怕再等一会
12-11,GDXU,B,245.777,10:35,242.6,10:57,+22m,1.29,❌ 哪怕再等一会
12-11,LITE,S,365.83,10:35,374.97,15:48,+5h 13m,2.5,❌ 哪怕再等一会
12-10,SNDK,S,220.625,10:04,234.17,15:50,+5h 46m,6.14,❌ 哪怕再等一会
12-10,RKLB,B,54.303,10:04,53.35,10:36,+32m,1.75,❌ 哪怕再等一会
12-10,LITE,S,361.48,10:04,376.5,15:05,+5h 1m,4.16,❌ 哪怕再等一会
12-09,SNDK,B,222.002,10:57,217.7,11:42,+45m,1.94,❌ 哪怕再等一会
12-09,RKLB,B,51.53,10:57,51.27,14:08,+3h 11m,0.5,❌ 哪怕再等一会
12-09,SQQQ,S,66.88,10:57,66.94,11:44,+47m,0.09,❌ 哪怕再等一会
12-09,ASTS,B,72.34,09:38,69.82,11:10,+1h 32m,3.48,❌ 哪怕再等一会
12-09,LITE,B,341.29,09:38,341.29,-,-,0.0,✅ 卖在最高/买在最低
12-09,SQQQ,S,67.369,09:38,67.51,09:48,+10m,0.21,❌ 哪怕再等一会
12-08,SNDK,S,216.545,11:02,226.67,13:16,+2h 14m,4.68,❌ 哪怕再等一会
12-08,ASTS,S,71.71,11:02,74.75,11:29,+27m,4.24,❌ 哪怕再等一会
12-08,LITE,S,330.71,11:02,345.72,15:14,+4h 12m,4.54,❌ 哪怕再等一会
12-08,SQQQ,B,67.14,11:02,66.72,13:00,+1h 58m,0.63,❌ 哪怕再等一会
12-08,SNDK,S,220.59,10:51,226.67,13:16,+2h 25m,2.76,❌ 哪怕再等一会
12-08,ASTS,S,72.946,10:51,74.75,11:29,+38m,2.47,❌ 哪怕再等一会
12-08,LITE,S,336.44,10:51,345.72,15:14,+4h 23m,2.76,❌ 哪怕再等一会
12-08,SQQQ,B,66.86,10:51,66.72,13:00,+2h 9m,0.21,❌ 哪怕再等一会
12-08,LITE,B,336.69,09:35,328.55,11:03,+1h 28m,2.42,❌ 哪怕再等一会
12-08,GDXU,S,203.22,09:34,207.0,09:40,+6m,1.86,❌ 哪怕再等一会
